,breweryID,abv,ibu,beerID,beer_name,style,ounces,brewery_name,city,state
1494,0,0.049,26.0,2691,Maggie's Leap,Milk / Sweet Stout,16.0,NorthGate Brewing ,Minneapolis,MN
1495,0,0.048,19.0,2690,Wall's End,English Brown Ale,16.0,NorthGate Brewing ,Minneapolis,MN
1496,0,0.06,38.0,2689,Pumpion,Pumpkin Ale,16.0,NorthGate Brewing ,Minneapolis,MN
1497,0,0.06,25.0,2688,Stronghold,American Porter,16.0,NorthGate Brewing ,Minneapolis,MN
1498,0,0.056,47.0,2687,Parapet ESB,Extra Special / Strong Bitter (ESB),16.0,NorthGate Brewing ,Minneapolis,MN
1493,0,0.045,50.0,2692,Get Together,American IPA,16.0,NorthGate Brewing ,Minneapolis,MN
75,1,0.04,13.0,2680,Sho'nuff,Belgian Pale Ale,16.0,Against the Grain Brewery,Louisville,KY
80,1,0.06,65.0,2675,Pile of Face,American IPA,16.0,Against the Grain Brewery,Louisville,KY
79,1,0.065,,2676,Kamen Knuddeln,American Wild Ale,16.0,Against the Grain Brewery,Louisville,KY
77,1,0.076,68.0,2678,Rico Sauvin,American Double / Imperial IPA,16.0,Against the Grain Brewery,Louisville,KY
76,1,0.055,17.0,2679,Bloody Show,American Pilsner,16.0,Against the Grain Brewery,Louisville,KY
74,1,0.066,21.0,2681,Flesh Gourd'n,Pumpkin Ale,16.0,Against the Grain Brewery,Louisville,KY
73,1,0.05,25.0,2682,Rules are Rules,German Pilsener,16.0,Against the Grain Brewery,Louisville,KY
72,1,0.042,42.0,2683,A Beer,American Pale Ale (APA),16.0,Against the Grain Brewery,Louisville,KY
71,1,0.077,25.0,2684,35 K,Milk / Sweet Stout,16.0,Against the Grain Brewery,Louisville,KY
78,1,0.051,38.0,2677,Coq de la Marche,Saison / Farmhouse Ale,16.0,Against the Grain Brewery,Louisville,KY
81,1,0.05,20.0,2674,The Brown Note,English Brown Ale,16.0,Against the Grain Brewery,Louisville,KY
69,1,0.08,68.0,2686,Citra Ass Down,American Double / Imperial IPA,16.0,Against the Grain Brewery,Louisville,KY
70,1,0.125,80.0,2685,London Balling,English Barleywine,16.0,Against the Grain Brewery,Louisville,KY
1120,2,0.07200000000000001,80.0,2671,Excess IPL,American India Pale Lager,16.0,Jack's Abby Craft Lagers,Framingham,MA
1121,2,0.067,65.0,2670,Hoponius Union,American India Pale Lager,12.0,Jack's Abby Craft Lagers,Framingham,MA
1122,2,0.049,45.0,2669,Calyptra,American India Pale Lager,12.0,Jack's Abby Craft Lagers,Framingham,MA
1119,2,0.048,15.0,2672,Leisure Time,American Pale Lager,12.0,Jack's Abby Craft Lagers,Framingham,MA
1118,2,0.052000000000000005,18.0,2673,House Lager,Keller Bier / Zwickel Bier,16.0,Jack's Abby Craft Lagers,Framingham,MA
1340,3,0.058,28.0,2662,Claritas,Kölsch,16.0,Mike Hess Brewing Company,San Diego,CA
1339,3,0.063,30.0,2663,Grazias,Cream Ale,16.0,Mike Hess Brewing Company,San Diego,CA
1338,3,0.08,100.0,2664,Habitus,American Double / Imperial IPA,16.0,Mike Hess Brewing Company,San Diego,CA
1337,3,0.06,24.0,2666,Jucundus,Wheat Ale,16.0,Mike Hess Brewing Company,San Diego,CA
1336,3,0.075,85.0,2667,Solis,American IPA,16.0,Mike Hess Brewing Company,San Diego,CA
1335,3,0.08,100.0,2668,Habitus (2014),American Double / Imperial IPA,16.0,Mike Hess Brewing Company,San Diego,CA
837,4,0.047,19.0,2661,Park,American Pale Wheat Ale,12.0,Fort Point Beer Company,San Francisco,CA
838,4,0.056,16.0,2660,Westfalia,American Amber / Red Ale,12.0,Fort Point Beer Company,San Francisco,CA
839,4,0.046,17.0,2659,KSA,Kölsch,12.0,Fort Point Beer Company,San Francisco,CA
840,4,0.063,42.0,2658,Villager,American IPA,12.0,Fort Point Beer Company,San Francisco,CA
497,5,0.097,,2652,Boy King,American Double / Imperial IPA,16.0,COAST Brewing Company,Charleston,SC
496,5,0.077,,2653,HopArt,American IPA,16.0,COAST Brewing Company,Charleston,SC
495,5,0.048,,2654,32°/50° Kölsch ,Kölsch,16.0,COAST Brewing Company,Charleston,SC
494,5,0.06,,2655,Dead Arm,American Pale Ale (APA),12.0,COAST Brewing Company,Charleston,SC
493,5,0.062,,2656,Rye Knot,American Brown Ale,12.0,COAST Brewing Company,Charleston,SC
492,5,0.093,,2657,Blackbeard,American Double / Imperial Stout,12.0,COAST Brewing Company,Charleston,SC
956,6,0.071,,2642,Titan IPA,American IPA,12.0,Great Divide Brewing Company,Denver,CO
955,6,0.073,,2643,Colette,Saison / Farmhouse Ale,12.0,Great Divide Brewing Company,Denver,CO
954,6,0.095,75.0,2644,Yeti  Imperial Stout,Russian Imperial Stout,12.0,Great Divide Brewing Company,Denver,CO
953,6,0.05,,2645,Lasso,American IPA,12.0,Great Divide Brewing Company,Denver,CO
952,6,0.083,,2646,Orabelle,Tripel,12.0,Great Divide Brewing Company,Denver,CO
950,6,0.061,,2648,Whitewater,American Pale Wheat Ale,12.0,Great Divide Brewing Company,Denver,CO
949,6,0.087,,2649,Hibernation Ale,Old Ale,12.0,Great Divide Brewing Company,Denver,CO
948,6,0.05,,2650,Denver Pale Ale (Artist Series No. 1),American Pale Ale (APA),12.0,Great Divide Brewing Company,Denver,CO
951,6,0.071,,2647,Rumble,American IPA,12.0,Great Divide Brewing Company,Denver,CO
2127,7,0.057,,2447,Mr. Orange,Witbier,16.0,Tapistry Brewing,Bridgman,MI
2125,7,0.065,35.0,2640,Peck's Porter,American Porter,16.0,Tapistry Brewing,Bridgman,MI
2126,7,0.07,,2448,Reactor,American IPA,16.0,Tapistry Brewing,Bridgman,MI
246,8,0.08,54.0,2639,Dark Star,American Stout,16.0,Big Lake Brewing,Holland,MI
247,8,0.062,,2469,Ryecoe,American IPA,16.0,Big Lake Brewing,Holland,MI
2164,9,0.052000000000000005,,2638,G. B. Russo’s Italian Pistachio Pale Ale,American Pale Ale (APA),16.0,The Mitten Brewing Company,Grand Rapids,MI
433,10,0.09,,1266,Zaison,Saison / Farmhouse Ale,16.0,Brewery Vivant,Grand Rapids,MI
434,10,0.08199999999999999,,1178,Vivant Tripel,Tripel,16.0,Brewery Vivant,Grand Rapids,MI
392,10,0.07,,2548,Beasts A'Burnin',Rauchbier,16.0,Brewery Vivant,Grand Rapids,MI
391,10,0.06,,2597,Linnaeus Mango IPA,American IPA,16.0,Brewery Vivant,Grand Rapids,MI
390,10,0.098,,2598,Tart Side of the Barrel,American Double / Imperial Stout,16.0,Brewery Vivant,Grand Rapids,MI
389,10,0.06,,2636,Star Runner,Belgian Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
388,10,0.067,,2637,Belfort,Saison / Farmhouse Ale,16.0,Brewery Vivant,Grand Rapids,MI
435,10,0.098,,1136,Tart Side of the Moon,Belgian Dark Ale,16.0,Brewery Vivant,Grand Rapids,MI
436,10,0.06,,1044,Big Red Coq,American Amber / Red Ale,16.0,Brewery Vivant,Grand Rapids,MI
437,10,0.099,,1033,Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),16.0,Brewery Vivant,Grand Rapids,MI
441,10,0.099,,860,Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,16.0,Brewery Vivant,Grand Rapids,MI
439,10,0.092,,909,Escoffier Bretta Ale,American Wild Ale,16.0,Brewery Vivant,Grand Rapids,MI
422,10,0.05,,1974,Coq D'Or,Belgian Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
444,10,0.092,,670,Vivant Tripel (2012),Tripel,16.0,Brewery Vivant,Grand Rapids,MI
445,10,0.097,,669,Trebuchet Double IPA (2012),Belgian IPA,16.0,Brewery Vivant,Grand Rapids,MI
