,breweryID,abv,ibu,beerID,beer_name,style,ounces,brewery_name,city,state
0,0,0.049,26.0,2691,Maggie's Leap,Milk / Sweet Stout,16.0,NorthGate Brewing ,Minneapolis,MN
1,0,0.048,19.0,2690,Wall's End,English Brown Ale,16.0,NorthGate Brewing ,Minneapolis,MN
2,0,0.06,38.0,2689,Pumpion,Pumpkin Ale,16.0,NorthGate Brewing ,Minneapolis,MN
3,0,0.06,25.0,2688,Stronghold,American Porter,16.0,NorthGate Brewing ,Minneapolis,MN
4,0,0.055999999999999994,47.0,2687,Parapet ESB,Extra Special / Strong Bitter (ESB),16.0,NorthGate Brewing ,Minneapolis,MN
5,0,0.045,50.0,2692,Get Together,American IPA,16.0,NorthGate Brewing ,Minneapolis,MN
6,1,0.04,13.0,2680,Sho'nuff,Belgian Pale Ale,16.0,Against the Grain Brewery,Louisville,KY
7,1,0.06,65.0,2675,Pile of Face,American IPA,16.0,Against the Grain Brewery,Louisville,KY
8,1,0.065,67.66666666666667,2676,Kamen Knuddeln,American Wild Ale,16.0,Against the Grain Brewery,Louisville,KY
9,1,0.076,68.0,2678,Rico Sauvin,American Double / Imperial IPA,16.0,Against the Grain Brewery,Louisville,KY
10,1,0.055,17.0,2679,Bloody Show,American Pilsner,16.0,Against the Grain Brewery,Louisville,KY
11,1,0.066,21.0,2681,Flesh Gourd'n,Pumpkin Ale,16.0,Against the Grain Brewery,Louisville,KY
12,1,0.05,25.0,2682,Rules are Rules,German Pilsener,16.0,Against the Grain Brewery,Louisville,KY
13,1,0.042,42.0,2683,A Beer,American Pale Ale (APA),16.0,Against the Grain Brewery,Louisville,KY
14,1,0.077,25.0,2684,35 K,Milk / Sweet Stout,16.0,Against the Grain Brewery,Louisville,KY
15,1,0.051,38.0,2677,Coq de la Marche,Saison / Farmhouse Ale,16.0,Against the Grain Brewery,Louisville,KY
16,1,0.05,20.0,2674,The Brown Note,English Brown Ale,16.0,Against the Grain Brewery,Louisville,KY
17,1,0.08,68.0,2686,Citra Ass Down,American Double / Imperial IPA,16.0,Against the Grain Brewery,Louisville,KY
18,1,0.125,80.0,2685,London Balling,English Barleywine,16.0,Against the Grain Brewery,Louisville,KY
19,2,0.07200000000000001,80.0,2671,Excess IPL,American India Pale Lager,16.0,Jack's Abby Craft Lagers,Framingham,MA
20,2,0.067,65.0,2670,Hoponius Union,American India Pale Lager,12.0,Jack's Abby Craft Lagers,Framingham,MA
21,2,0.049,45.0,2669,Calyptra,American India Pale Lager,12.0,Jack's Abby Craft Lagers,Framingham,MA
22,2,0.048,15.0,2672,Leisure Time,American Pale Lager,12.0,Jack's Abby Craft Lagers,Framingham,MA
23,2,0.052000000000000005,18.0,2673,House Lager,Keller Bier / Zwickel Bier,16.0,Jack's Abby Craft Lagers,Framingham,MA
24,3,0.057999999999999996,28.0,2662,Claritas,Kölsch,16.0,Mike Hess Brewing Company,San Diego,CA
25,3,0.063,30.0,2663,Grazias,Cream Ale,16.0,Mike Hess Brewing Company,San Diego,CA
26,3,0.08,100.0,2664,Habitus,American Double / Imperial IPA,16.0,Mike Hess Brewing Company,San Diego,CA
27,3,0.06,24.0,2666,Jucundus,Wheat Ale,16.0,Mike Hess Brewing Company,San Diego,CA
28,3,0.075,85.0,2667,Solis,American IPA,16.0,Mike Hess Brewing Company,San Diego,CA
29,3,0.08,100.0,2668,Habitus (2014),American Double / Imperial IPA,16.0,Mike Hess Brewing Company,San Diego,CA
30,4,0.047,19.0,2661,Park,American Pale Wheat Ale,12.0,Fort Point Beer Company,San Francisco,CA
31,4,0.055999999999999994,16.0,2660,Westfalia,American Amber / Red Ale,12.0,Fort Point Beer Company,San Francisco,CA
32,4,0.046,17.0,2659,KSA,Kölsch,12.0,Fort Point Beer Company,San Francisco,CA
33,4,0.063,42.0,2658,Villager,American IPA,12.0,Fort Point Beer Company,San Francisco,CA
34,5,0.09699999999999999,93.66666666666667,2652,Boy King,American Double / Imperial IPA,16.0,COAST Brewing Company,Charleston,SC
35,5,0.077,46.333333333333336,2653,HopArt,American IPA,16.0,COAST Brewing Company,Charleston,SC
36,5,0.048,26.333333333333332,2654,32°/50° Kölsch ,Kölsch,16.0,COAST Brewing Company,Charleston,SC
37,5,0.06,46.333333333333336,2655,Dead Arm,American Pale Ale (APA),12.0,COAST Brewing Company,Charleston,SC
38,5,0.062,60.0,2656,Rye Knot,American Brown Ale,12.0,COAST Brewing Company,Charleston,SC
39,5,0.09300000000000001,26.666666666666668,2657,Blackbeard,American Double / Imperial Stout,12.0,COAST Brewing Company,Charleston,SC
40,6,0.071,58.0,2642,Titan IPA,American IPA,12.0,Great Divide Brewing Company,Denver,CO
41,6,0.073,66.66666666666667,2643,Colette,Saison / Farmhouse Ale,12.0,Great Divide Brewing Company,Denver,CO
42,6,0.095,75.0,2644,Yeti  Imperial Stout,Russian Imperial Stout,12.0,Great Divide Brewing Company,Denver,CO
43,6,0.05,32.666666666666664,2645,Lasso,American IPA,12.0,Great Divide Brewing Company,Denver,CO
44,6,0.083,94.0,2646,Orabelle,Tripel,12.0,Great Divide Brewing Company,Denver,CO
45,6,0.061,33.333333333333336,2648,Whitewater,American Pale Wheat Ale,12.0,Great Divide Brewing Company,Denver,CO
46,6,0.087,76.66666666666667,2649,Hibernation Ale,Old Ale,12.0,Great Divide Brewing Company,Denver,CO
47,6,0.05,32.666666666666664,2650,Denver Pale Ale (Artist Series No. 1),American Pale Ale (APA),12.0,Great Divide Brewing Company,Denver,CO
48,6,0.071,58.0,2647,Rumble,American IPA,12.0,Great Divide Brewing Company,Denver,CO
49,7,0.057,34.333333333333336,2447,Mr. Orange,Witbier,16.0,Tapistry Brewing,Bridgman,MI
50,7,0.065,35.0,2640,Peck's Porter,American Porter,16.0,Tapistry Brewing,Bridgman,MI
51,7,0.07,52.0,2448,Reactor,American IPA,16.0,Tapistry Brewing,Bridgman,MI
52,8,0.08,54.0,2639,Dark Star,American Stout,16.0,Big Lake Brewing,Holland,MI
53,8,0.062,60.0,2469,Ryecoe,American IPA,16.0,Big Lake Brewing,Holland,MI
54,9,0.052000000000000005,17.0,2638,G. B. Russo’s Italian Pistachio Pale Ale,American Pale Ale (APA),16.0,The Mitten Brewing Company,Grand Rapids,MI
55,10,0.09,92.66666666666667,1266,Zaison,Saison / Farmhouse Ale,16.0,Brewery Vivant,Grand Rapids,MI
56,10,0.08199999999999999,46.666666666666664,1178,Vivant Tripel,Tripel,16.0,Brewery Vivant,Grand Rapids,MI
57,10,0.07,52.0,2548,Beasts A'Burnin',Rauchbier,16.0,Brewery Vivant,Grand Rapids,MI
58,10,0.06,46.333333333333336,2597,Linnaeus Mango IPA,American IPA,16.0,Brewery Vivant,Grand Rapids,MI
59,10,0.098,57.333333333333336,2598,Tart Side of the Barrel,American Double / Imperial Stout,16.0,Brewery Vivant,Grand Rapids,MI
60,10,0.06,46.333333333333336,2636,Star Runner,Belgian Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
61,10,0.067,56.666666666666664,2637,Belfort,Saison / Farmhouse Ale,16.0,Brewery Vivant,Grand Rapids,MI
62,10,0.098,57.333333333333336,1136,Tart Side of the Moon,Belgian Dark Ale,16.0,Brewery Vivant,Grand Rapids,MI
63,10,0.06,46.333333333333336,1044,Big Red Coq,American Amber / Red Ale,16.0,Brewery Vivant,Grand Rapids,MI
64,10,0.099,75.33333333333333,1033,Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),16.0,Brewery Vivant,Grand Rapids,MI
65,10,0.099,75.33333333333333,860,Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,16.0,Brewery Vivant,Grand Rapids,MI
66,10,0.092,58.666666666666664,909,Escoffier Bretta Ale,American Wild Ale,16.0,Brewery Vivant,Grand Rapids,MI
67,10,0.05,32.666666666666664,1974,Coq D'Or,Belgian Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
68,10,0.092,58.666666666666664,670,Vivant Tripel (2012),Tripel,16.0,Brewery Vivant,Grand Rapids,MI
69,10,0.09699999999999999,93.66666666666667,669,Trebuchet Double IPA (2012),Belgian IPA,16.0,Brewery Vivant,Grand Rapids,MI
70,10,0.085,72.66666666666667,627,Kludde,Belgian Strong Dark Ale,16.0,Brewery Vivant,Grand Rapids,MI
71,10,0.055,20.666666666666668,387,Farm Hand,Saison / Farmhouse Ale,16.0,Brewery Vivant,Grand Rapids,MI
72,10,0.06,46.333333333333336,385,Solitude,Belgian Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
73,10,0.065,67.66666666666667,384,Triomphe,Belgian IPA,16.0,Brewery Vivant,Grand Rapids,MI
74,10,0.065,67.66666666666667,873,Contemplation (2012),Bière de Garde,16.0,Brewery Vivant,Grand Rapids,MI
75,10,0.05,32.666666666666664,1267,Black Rabbit,American Black Ale,16.0,Brewery Vivant,Grand Rapids,MI
76,10,0.095,47.333333333333336,1031,Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,16.0,Brewery Vivant,Grand Rapids,MI
77,10,0.065,67.66666666666667,1352,Contemplation,Bière de Garde,16.0,Brewery Vivant,Grand Rapids,MI
78,10,0.09,92.66666666666667,671,Zaison (2012),Saison / Farmhouse Ale,16.0,Brewery Vivant,Grand Rapids,MI
79,10,0.055999999999999994,42.666666666666664,1651,Maize & Blueberry,Fruit / Vegetable Beer,16.0,Brewery Vivant,Grand Rapids,MI
80,10,0.08199999999999999,46.666666666666664,2433,Sous Chef,Belgian Strong Pale Ale,16.0,Brewery Vivant,Grand Rapids,MI
81,10,0.065,67.66666666666667,2418,Dubbelicious,Dubbel,16.0,Brewery Vivant,Grand Rapids,MI
